"","Row.names","cities","lon","lat"
"759","777","",NA,NA
"760","778","",NA,NA
"761","779","",NA,NA
"762","78","",NA,NA
"763","780","",NA,NA
"764","781","",NA,NA
"765","782","",NA,NA
"766","783","",NA,NA
"767","784","",NA,NA
"768","785","",NA,NA
"769","786","",NA,NA
"770","787","",NA,NA
"771","788","",NA,NA
"772","789","",NA,NA
"773","79","",NA,NA
"774","790","",NA,NA
"775","791","",NA,NA
"776","792","Palermo",NA,NA
"777","793","Palermo",NA,NA
"778","794","Palermo",NA,NA
"779","795","Palermo",NA,NA
"780","796","Palermo",13.3612671,38.1156879
"781","797","Palermo",13.3612671,38.1156879
"782","798","Palermo",13.3612671,38.1156879
"783","799","Palermo",13.3612671,38.1156879
"784","8","",NA,NA
"785","80","",NA,NA
"786","800","",NA,NA
"787","801","",NA,NA
"788","802","",NA,NA
"789","803","",NA,NA
"790","804","",NA,NA
"791","805","",NA,NA
"792","806","",NA,NA
"793","807","",NA,NA
"794","808","",NA,NA
"795","809","Parigi",NA,NA
"796","81","",NA,NA
"797","810","Parigi",NA,NA
"798","811","Parigi",-90.341655,38.648234
"799","812","Parigi",-90.341655,38.648234
"800","813","Parigi",NA,NA
"801","814","Parigi",NA,NA
"802","815","Parigi",NA,NA
"803","816","",NA,NA
"804","817","",NA,NA
"805","818","",NA,NA
"806","819","",NA,NA
"807","82","",NA,NA
"808","820","",NA,NA
"809","821","",NA,NA
"810","822","",NA,NA
"811","823","",NA,NA
"812","824","",NA,NA
"813","825","",NA,NA
"814","826","",NA,NA
"815","827","",NA,NA
"816","828","",NA,NA
"817","829","",NA,NA
"818","83","",NA,NA
"819","830","",NA,NA
"820","831","",NA,NA
"821","832","",NA,NA
"822","833","",NA,NA
"823","834","",NA,NA
"824","835","",NA,NA
"825","836","",NA,NA
"826","837","",NA,NA
"827","838","",NA,NA
"828","839","",NA,NA
"829","84","",NA,NA
"830","840","",NA,NA
"831","841","",NA,NA
"832","842","",NA,NA
"833","843","",NA,NA
"834","844","",NA,NA
"835","845","",NA,NA
"836","846","",NA,NA
"837","847","",NA,NA
"838","848","",NA,NA
"839","849","Perugia",NA,NA
"840","85","",NA,NA
"841","850","Perugia",12.3908279,43.1107168
"842","851","Perugia",NA,NA
"843","852","Perugia",12.3908279,43.1107168
"844","853","Perugia",12.3908279,43.1107168
"845","854","Perugia",12.3908279,43.1107168
"846","855","",NA,NA
"847","856","Piacenza",9.6929845,45.0526206
"848","857","Piacenza",9.6929845,45.0526206
"849","858","Piccardia",NA,NA
"850","859","",NA,NA
"851","86","",NA,NA
"852","860","",NA,NA
"853","861","",NA,NA
"854","862","",NA,NA
"855","863","Pisa",10.4016888,43.7228386
